what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1592491901900
os,sysinfo,,,"win32",1592491901902
arch,sysinfo,,,"x86_64",1592491901902
ws,sysinfo,,,"win32",1592491901902
locale,sysinfo,,,"es_ES",1592491901902
processors,sysinfo,,,"4",1592491901902
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1592491901902
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1592491901902
java.specification.name,sysinfo,,,"Java Platform API Specification",1592491901902
java.specification.vendor,sysinfo,,,"Oracle Corporation",1592491901902
java.specification.version,sysinfo,,,"1.8",1592491901902
java.vendor,sysinfo,,,"Oracle Corporation",1592491901902
java.version,sysinfo,,,"1.8.0_121",1592491901902
java.vm.info,sysinfo,,,"mixed mode",1592491901902
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1592491901902
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1592491901902
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1592491901902
java.vm.specification.version,sysinfo,,,"1.8",1592491901902
java.vm.vendor,sysinfo,,,"Oracle Corporation",1592491901902
java.vm.version,sysinfo,,,"25.121-b13",1592491901902
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1592491901971
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1592491902013
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1592491902037
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1592491902064
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1592491902072
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1592491902120
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1592491902140
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20101001-2300,"org.eclipse.php.debug.daemon",1592491902285
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1592491902370
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1592491902375
started,bundle,org.eclipse.php.server.core,2.2.0.v20101001-2300,"org.eclipse.php.server.core",1592491902377
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1592491902487
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1592491902528
started,bundle,org.eclipse.php.debug.core,2.2.0.v20101001-2300,"org.eclipse.php.debug.core",1592491902721
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1592491902745
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1592491902752
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1592491902763
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1592491902809
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.php.debug.ui",1592491902922
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1592491928925
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1592491928986
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1592491929017
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592492041982
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592492053363
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1592492053375
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1592492053375
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592492055781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592492056927
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592492057011
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1592492057216
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1592492057219
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1592492057294
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1592492057295
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20101001-2300,"org.eclipse.php.server.ui",1592492057296
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.php.debug.ui",1592492057296
